Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
11:14,7.2,Crime,Greg Marcks,Henry Thomas,Colin Hanks,6000000,0,0,12-Aug-05
9,7.1,Animation,Shane Acker,Elijah Wood,Jennifer Connelly,30000000,31749894,48559999,9-Sep-09
21,6.8,Crime,Robert Luketic,Jim Sturgess,Kate Bosworth,35000000,81159365,159846429,28-Mar-08
31,5.1,Horror,Rob Zombie,Malcolm McDowell,Richard Brake,1500000,779820,922727,21-Oct-16
42,7.5,Biography,Brian Helgeland,Chadwick Boseman,T.R. Knight,31000000,95020213,97470701,12-Apr-13
300,7.7,Action,Zack Snyder,Gerard Butler,Lena Headey,60000000,210614939,454161935,9-Mar-07
1408,6.8,Fantasy,Mikael Hafstrom,John Cusack,Samuel L. Jackson,22500000,71985628,131263370,22-Jun-07
2012,5.8,Action,Roland Emmerich,John Cusack,Thandie Newton,200000000,166112167,757677748,13-Nov-09
2046,7.5,Drama,Kar-Wai Wong,Tony Chiu-Wai Leung,Ziyi Zhang,12000000,1442338,19287485,5-Aug-05
(500) Days of Summer,7.7,Comedy,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,7500000,32425665,34439060,17-Jul-09
[Rec],7.4,Horror,Paco Plaza,Jaume Balaguera,Ferran Terraza,2100000,0,23266821,14-Jul-09
10 Cloverfield Lane,7.2,Drama,Dan Trachtenberg,John Goodman,Mary Elizabeth Winstead,5000000,72082999,108286422,11-Mar-16
102 Dalmatians,4.9,Adventure,Kevin Lima,Glenn Close,Gerard Depardieu,85000000,66941559,66941559,22-Nov-00
12 Rounds,5.6,Action,Renny Harlin,John Cena,Ashley Scott,20000000,12234694,17306648,27-Mar-09
12 Strong,6.6,Action,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,35000000,45819713,71118378,19-Jan-18
12 Years a Slave,8.1,Biography,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,20000000,56671993,181025343,18-Oct-13
127 Hours,7.6,Biography,Danny Boyle,James Franco,Amber Tamblyn,18000000,18335230,60217171,5-Nov-10
13 Going on 30,6.1,Comedy,Gary Winick,Jennifer Garner,Mark Ruffalo,37000000,57139723,97658712,23-Apr-04
13 Sins,6.3,Horror,Daniel Stamm,Mark Webber,Devon Graye,4000000,9134,47552,18-Apr-14
15 Minutes,6.1,Action,John Herzfeld,Robert De Niro,Edward Burns,42000000,24375436,56331864,9-Mar-01
16 Blocks,6.6,Action,Richard Donner,Bruce Willis,Yasiin Bey,45000000,36895141,65595141,3-Mar-06
17 Again,6.4,Comedy,Burr Steers,Zac Efron,Matthew Perry,40000000,64167069,139474906,17-Apr-09
2 Fast 2 Furious,5.9,Action,John Singleton,Paul Walker,Tyrese Gibson,76000000,127120058,236410607,6-Jun-03
2 Guns,6.7,Action,Baltasar Kormakur,Denzel Washington,Mark Wahlberg,61000000,75612460,132493015,2-Aug-13
21 Grams,7.7,Crime,Alejandro G. Inarritu,Sean Penn,Benicio Del Toro,20000000,16248701,59667625,21-Nov-03
21 Jump Street,7.2,Action,Christopher Miller,Phil Lord,Channing Tatum,42000000,138447667,202812429,16-Mar-12
22 Jump Street,7,Action,Christopher Miller,Phil Lord,Jonah Hill,50000000,191719337,331333876,13-Jun-14
25th Hour,7.6,Drama,Spike Lee,Edward Norton,Barry Pepper,4500000,13084595,25344490,19-Dec-02
27 Dresses,6.1,Comedy,Anne Fletcher,Katherine Heigl,James Marsden,30000000,76808654,160247805,18-Jan-08
28 Days,6,Comedy,Betty Thomas,Sandra Bullock,Viggo Mortensen,43000000,37035515,62063972,14-Apr-00
28 Weeks Later,7,Drama,Juan Carlos Fresnadillo,Jeremy Renner,Rose Byrne,15000000,28638916,64232714,11-May-07
3 Days to Kill,6.2,Action,McG,Kevin Costner,Hailee Steinfeld,28000000,30697999,38959900,21-Feb-14
3:10 to Yuma,7.7,Action,James Mangold,Russell Crowe,Christian Bale,48000000,53606916,71171825,7-Sep-07
30 Days of Night,6.6,Action,David Slade,Josh Hartnett,Melissa George,30000000,39568996,80276156,19-Oct-07
30 Minutes or Less,6.1,Action,Ruben Fleischer,Jesse Eisenberg,Danny McBride,28000000,37053924,40966716,12-Aug-11
300: Rise of an Empire,6.2,Action,Noam Murro,Sullivan Stapleton,Eva Green,110000000,106580051,330780051,7-Mar-14
3000 Miles to Graceland,6,Action,Demian Lichtenstein,Kurt Russell,Kevin Costner,62000000,15738632,18708848,23-Feb-01
40 Days and 40 Nights,5.6,Comedy,Michael Lehmann,Josh Hartnett,Shannyn Sossamon,17000000,37939782,95092667,1-Mar-02
47 Ronin,6.3,Action,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,175000000,38362475,151716815,25-Dec-13
5 Days of War,5.6,Action,Renny Harlin,Rupert Friend,Emmanuelle Chriqui,12000000,17479,87793,19-Aug-11
50 First Dates,6.8,Comedy,Peter Segal,Adam Sandler,Drew Barrymore,75000000,120776832,196320329,13-Feb-04
50/50,7.7,Comedy,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,8000000,35016118,41334735,30-Sep-11
8 femmes,7.1,Comedy,Francois Ozon,Fanny Ardant,Emmanuelle Beart,8000000,3076425,42376425,20-Sep-02
8 Mile,7.1,Drama,Curtis Hanson,Eminem,Brittany Murphy,41000000,116724075,245768384,8-Nov-02
88 Minutes,5.9,Crime,Jon Avnet,Al Pacino,Alicia Witt,30000000,16930884,32955399,18-Apr-08
A Bad Moms Christmas,5.5,Comedy,Scott Moore,Jon Lucas,Kristen Bell,28000000,72110659,127710550,1-Nov-17
A Beautiful Mind,8.2,Biography,Ron Howard,Russell Crowe,Ed Harris,78000000,170708996,317668058,21-Dec-01
A Better Life,7.2,Drama,Chris Weitz,Demian Bichir,Jose Julian,10000000,1759252,1884251,24-Jun-11
A Cinderella Story,5.9,Comedy,Mark Rosman,Hilary Duff,Chad Michael Murray,19000000,51438175,70164105,16-Jul-04
A Dangerous Method,6.4,Biography,David Cronenberg,Michael Fassbender,Keira Knightley,20000000,5702083,14807531,23-Nov-11
A Few Best Men,5.7,Comedy,Stephan Elliott,Laura Brent,Xavier Samuel,15000000,0,17224539,5-May-15
A Ghost Story,6.8,Drama,David Lowery,Casey Affleck,Rooney Mara,100000,1594798,2769782,7-Jul-17
A Good Day to Die Hard,5.3,Action,John Moore,Bruce Willis,Jai Courtney,92000000,67349198,304249198,14-Feb-13
A Good Year,7,Comedy,Ridley Scott,Russell Crowe,Abbie Cornish,35000000,7459300,42064105,10-Nov-06
A Guy Thing,5.6,Comedy,Chris Koch,Jason Lee,Julia Stiles,20000000,15543862,17430594,17-Jan-03
A Haunted House,5,Comedy,Michael Tiddes,Marlon Wayans,Essence Atkins,2500000,40041683,59922558,11-Jan-13
A Haunted House 2,4.7,Comedy,Michael Tiddes,Marlon Wayans,Jaime Pressly,4000000,17329487,21206861,18-Apr-14
A History of Violence,7.4,Crime,David Cronenberg,Viggo Mortensen,Maria Bello,32000000,31493782,61477797,23-Sep-05
A Hologram for the King,6.1,Comedy,Tom Tykwer,Tom Hanks,Omar Elba,35000000,4212494,11846010,22-Apr-16
A Little Bit of Heaven,6.3,Comedy,Nicole Kassell,Kate Hudson,Gael Garcia Bernal,12500000,10011,1100287,4-May-12
A Lonely Place to Die,6.2,Adventure,Julian Gilbey,Alec Newman,Ed Speleers,4000000,0,442550,20-Mar-12
A Lot Like Love,6.6,Comedy,Nigel Cole,Ashton Kutcher,Amanda Peet,25000000,21835784,41921590,22-Apr-05
A Man Apart,6.1,Action,F. Gary Gray,Vin Diesel,Timothy Olyphant,36000000,26500000,43797731,4-Apr-03
A Mighty Heart,6.6,Biography,Michael Winterbottom,Angelina Jolie,Dan Futterman,15000000,9176787,19153568,22-Jun-07
A Mighty Wind,7.2,Comedy,Christopher Guest,Christopher Guest,Eugene Levy,6000000,17583468,18504539,16-Apr-03
A Million Ways to Die in the West,6.1,Comedy,Seth MacFarlane,Seth MacFarlane,Charlize Theron,40000000,42720965,86778557,30-May-14
A Monster Calls,7.5,Animation,J.A. Bayona,Lewis MacDougall,Sigourney Weaver,43000000,3740823,46414530,6-Jan-17
A Most Violent Year,7,Crime,J.C. Chandor,Oscar Isaac,Jessica Chastain,20000000,5749134,8846875,31-Dec-14
A Most Wanted Man,6.8,Crime,Anton Corbijn,Philip Seymour Hoffman,Rachel McAdams,15000000,17237855,36068890,25-Jul-14
A Nightmare on Elm Street,5.2,Crime,Samuel Bayer,Jackie Earle Haley,Rooney Mara,35000000,63075011,117729621,30-Apr-10
A Perfect Getaway,6.5,Mystery,David Twohy,Milla Jovovich,Steve Zahn,14000000,15515460,22815460,7-Aug-09
A Prairie Home Companion,6.8,Comedy,Robert Altman,Lily Tomlin,Meryl Streep,10000000,20342852,26716191,9-Jun-06
A Quiet Place,7.6,Drama,John Krasinski,Emily Blunt,John Krasinski,17000000,188024361,336157526,6-Apr-18
A Scanner Darkly,7.1,Animation,Richard Linklater,Keanu Reeves,Winona Ryder,20000000,5501616,7405084,7-Jul-06
A Serious Man,7,Comedy,Joel Coen,Ethan Coen,Richard Kind,7000000,9228788,30360570,2-Oct-09
A Simple Favor,6.8,Comedy,Paul Feig,Anna Kendrick,Blake Lively,20000000,53548586,97628717,14-Sep-18
A Single Man,7.6,Drama,Tom Ford,Colin Firth,Julianne Moore,7000000,9176000,28142379,11-Dec-09
A Sound of Thunder,4.2,Action,Peter Hyams,Edward Burns,Ben Kingsley,80000000,1900451,6300451,2-Sep-05
A Star Is Born,7.7,Drama,Bradley Cooper,Lady Gaga,Bradley Cooper,36000000,215288866,433410882,5-Oct-18
A Street Cat Named Bob,7.4,Biography,Roger Spottiswoode,Luke Treadaway,Bob the Cat,8000000,82703,17382693,18-Nov-16
A Thousand Words,5.9,Comedy,Brian Robbins,Eddie Murphy,Cliff Curtis,40000000,18450127,20790486,9-Mar-12
A Very Harold & Kumar 3D Christmas,6.3,Adventure,Todd Strauss-Schulson,Kal Penn,John Cho,20000000,35061031,36265745,4-Nov-11
A Walk Among the Tombstones,6.5,Action,Scott Frank,Liam Neeson,Dan Stevens,28000000,26017685,62108587,19-Sep-14
A Walk in the Woods,6.3,Adventure,Ken Kwapis,Robert Redford,Nick Nolte,8000000,29499394,37119358,2-Sep-15
A Walk to Remember,7.4,Drama,Adam Shankman,Mandy Moore,Shane West,11000000,41227069,46060861,25-Jan-02
A Wrinkle in Time,4.2,Adventure,Ava DuVernay,Storm Reid,Oprah Winfrey,103000000,100478608,133401882,9-Mar-18
Abandon,4.9,Drama,Stephen Gaghan,Katie Holmes,Benjamin Bratt,25000000,10719367,12219367,18-Oct-02
Abduction,5.1,Action,John Singleton,Taylor Lautner,Lily Collins,35000000,28087155,86648359,23-Sep-11
About a Boy,7.1,Comedy,Paul Weitz,Chris Weitz,Nicholas Hoult,27000000,40803000,130759651,17-May-02
About Last Night,6.1,Comedy,Steve Pink,Kevin Hart,Michael Ealy,13000000,48637684,50445860,14-Feb-14
About Schmidt,7.1,Comedy,Alexander Payne,Jack Nicholson,Hope Davis,30000000,65005217,107054484,13-Dec-02
About Time,7.8,Comedy,Richard Curtis,Domhnall Gleeson,Rachel McAdams,12000000,15323921,89309178,1-Nov-13
Abraham Lincoln: Vampire Hunter,5.9,Action,Timur Bekmambetov,Benjamin Walker,Rufus Sewell,67500000,37519139,137489730,22-Jun-12
Absentia,5.8,Drama,Mike Flanagan,Catherine Parker,Courtney Bell,70000,0,8555,31-Dec-11
Accidental Love,4.1,Comedy,David O. Russell,Jessica Biel,Raymond L. Brown Jr.,26000000,0,135436,17-Mar-15
Acrimony,5.7,Drama,Tyler Perry,Taraji P. Henson,Lyriq Bent,20000000,43549096,46627836,30-Mar-18
Across the Universe,7.4,Drama,Julie Taymor,Evan Rachel Wood,Jim Sturgess,45000000,24343673,29367143,14-Sep-07
Act of Valor,6.5,Action,Scott Waugh,Mike McCoy,Roselyn Sanchez,12000000,70012847,82497035,24-Feb-12
Action Point,5.1,Comedy,Tim Kirkby,Johnny Knoxville,Eleanor Worthington-Cox,19000000,5059608,5103675,1-Jun-18
Adam,7.2,Comedy,Max Mayer,Hugh Dancy,Rose Byrne,3200000,2283291,2834485,29-Jul-09
Addicted,5.2,Drama,Bille Woodruff,Sharon Leal,Boris Kodjoe,5000000,17390770,17499242,10-Oct-14
Admission,5.7,Comedy,Paul Weitz,Tina Fey,Paul Rudd,13000000,18007317,18733666,22-Mar-13
Adoration,6.2,Drama,Anne Fontaine,Naomi Watts,Robin Wright,4000000,294244,384244,8-May-09
Adrift,6.6,Action,Baltasar Kormakur,Shailene Woodley,Sam Claflin,35000000,31445011,57897191,1-Jun-18
Adventureland,6.8,Comedy,Greg Mottola,Jesse Eisenberg,Kristen Stewart,9800000,16044025,17553055,3-Apr-09
After,5.4,Drama,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,650000,0,0,31-Dec-12
